Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Madhusudan,,,,1,unclassified
may-termination,,,,1,unclassified
Mellies,,,,1,unclassified
Micha,,,,1,unclassified
Mihalis,,,,1,unclassified
Mingshuai,,,,1,unclassified
ML-like,,,,1,unclassified
model-agnostic,,,,1,unclassified
Mogelberg,,,,1,unclassified
Moreover--most,,,,1,unclassified
Munoz,,,,1,unclassified
must-termination,,,,1,unclassified
Naijun,,,,1,unclassified
Nieto,,,,1,unclassified
Nipkow,,,,1,unclassified
non-adjacent,,,,1,unclassified
non-AST,,,,1,unclassified
non-trivial,,,,1,unclassified
Olmedo,,,,1,unclassified
OOPSLA1,,,,1,unclassified
P.E,,,,1,unclassified
partially-sampled,,,,1,unclassified
Paul-Andre,,,,1,unclassified
pGCL,,,,1,unclassified
Pierre-Yves,,,,1,unclassified
point-wise,,,,1,unclassified
points-to,,,,1,unclassified
points-to-connective,,,,1,unclassified
pre-select,,,,1,unclassified
pre-selected,,,,1,unclassified
presample,,,,1,unclassified
presamples,,,,1,unclassified
purposes--from,,,,1,unclassified
Rajamani,,,,1,unclassified
RaML,,,,1,unclassified
Rasmus,,,,1,unclassified
refinement--in,,,,1,unclassified
refmodel,,,,1,unclassified
Ronchi,,,,1,unclassified
runtimes,,,,1,unclassified
Rupak,,,,1,unclassified
rwp-alloc,,,,1,unclassified
rwp-bind,,,,1,unclassified
rwp-frame,,,,1,unclassified
rwp-load,,,,1,unclassified
rwp-mono,,,,1,unclassified
rwp-store,,,,1,unclassified
rwp-tape,,,,1,unclassified
rwp-tape-alloc,,,,1,unclassified
rwp-val,,,,1,unclassified
rwpcoupl-rand,,,,1,unclassified
sampled.3,,,,1,unclassified
Sanjit,,,,1,unclassified
Schwinghammer,,,,1,unclassified
SeLoC,,,,1,unclassified
Seshia,,,,1,unclassified
Sharir,,,,1,unclassified
Shenghua,,,,1,unclassified
Sheshansh,,,,1,unclassified
short-circuits,,,,1,unclassified
Size-constrained,,,,1,unclassified
snd,,,,1,unclassified
Sofiene,,,,1,unclassified
spec(1,,,,1,unclassified
Springer-Verlag,,,,1,unclassified
sstep,,,,1,unclassified
stack-based,,,,1,unclassified
Stefanesco,,,,1,unclassified
step(if,,,,1,unclassified
step(rand,,,,1,unclassified
step-index,,,,1,unclassified
Stovring,,,,1,unclassified
sub)-Markov,,,,1,unclassified
sub-sequences,,,,1,unclassified
surprisingly--and,,,,1,unclassified
suspiciously--simple,,,,1,unclassified
Swasey,,,,1,unclassified
tapes.2,,,,1,unclassified
Tarski's,,,,1,unclassified
termination-preservation,,,,1,unclassified
termination-sensitive,,,,1,unclassified
Theophilos,,,,1,unclassified
Thessaloniki,,,,1,unclassified
TPHOLs,,,,1,unclassified
unfoldings,,,,1,unclassified
Union-Find,,,,1,unclassified
User-Friendly,,,,1,unclassified
VMCAI,,,,1,unclassified
Vouillon,,,,1,unclassified
we--at,,,,1,unclassified
weakest-precondition,,,,1,unclassified
while-loop,,,,1,unclassified
Zhan,,,,1,unclassified
Zuck,,,,1,unclassified
