Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Fournet,,,,1,unclassified
FreeAcc--cons,,,,1,unclassified
FreeAcc--down,,,,1,unclassified
FreeAcc--nil,,,,1,unclassified
FreeAcc--ret,,,,1,unclassified
FreeAcc--trans,,,,1,unclassified
FreeAcc--up,,,,1,unclassified
FreeAccoption,,,,1,unclassified
FreeAccp,,,,1,unclassified
fuer,,,,1,unclassified
Gaboardi,,,,1,unclassified
Gaetan,,,,1,unclassified
Garrin,,,,1,unclassified
getp2,,,,1,unclassified
GIIT,,,,1,unclassified
gradualization,,,,1,unclassified
gradualize,,,,1,unclassified
Gradualized,,,,1,unclassified
gradually-typed,,,,1,unclassified
Hongwei,,,,1,unclassified
Hricu,,,,1,unclassified
Hritcu,,,,1,unclassified
I-Elim,,,,1,unclassified
idFreeAcc,,,,1,unclassified
Idxp1,,,,1,unclassified
Idxp2,,,,1,unclassified
IndArg,,,,1,unclassified
"IndArgc,2",,,,1,unclassified
"indargsV,cons",,,,1,unclassified
"indargsV,nil",,,,1,unclassified
inductive's,,,,1,unclassified
Informatik,,,,1,unclassified
inhabitants--the,,,,1,unclassified
initiality,,,,1,unclassified
interoperate,,,,1,unclassified
is_err,,,,1,unclassified
Karthikeyan,,,,1,unclassified
Kohlweiss,,,,1,unclassified
length-indexed,,,,1,unclassified
LennonBertrand,,,,1,unclassified
LICS,,,,1,unclassified
LIPIcs,,,,1,unclassified
Markulf,,,,1,unclassified
Martin-Lof's,,,,1,unclassified
max-ty,,,,1,unclassified
McKinna,,,,1,unclassified
Middeldorp,,,,1,unclassified
multi-effects,,,,1,unclassified
Nikhil,,,,1,unclassified
nil=1,,,,1,unclassified
NN,,,,1,unclassified
non-empty,,,,1,unclassified
non-monotone,,,,1,unclassified
non-self-precise,,,,1,unclassified
non-termination,,,,1,unclassified
non-uniform,,,,1,unclassified
notationally,,,,1,unclassified
omiting,,,,1,unclassified
Over-precise,,,,1,unclassified
ParamV,,,,1,unclassified
Pck,,,,1,unclassified
Peter-Michael,,,,1,unclassified
Pfenning,,,,1,unclassified
Pierre-Evariste,,,,1,unclassified
Pierre-Yves,,,,1,unclassified
printf,,,,1,unclassified
Proof-Irrelevance,,,,1,unclassified
quasi-reflexive,,,,1,unclassified
quasi-reflexivity,,,,1,unclassified
rAcc,,,,1,unclassified
Rastislav,,,,1,unclassified
Rastogi,,,,1,unclassified
Raumer,,,,1,unclassified
relativised,,,,1,unclassified
run-time,,,,1,unclassified
Rupak,,,,1,unclassified
rxg/agt-erratum.pdf,,,,1,unclassified
sAcc,,,,1,unclassified
selfprecision,,,,1,unclassified
sFreeAcc,,,,1,unclassified
SMT-decidable,,,,1,unclassified
SNAPL,,,,1,unclassified
Soonho,,,,1,unclassified
Sozeau,,,,1,unclassified
structure-preserving,,,,1,unclassified
t:Ipi,,,,1,unclassified
target's,,,,1,unclassified
Thessaloniki,,,,1,unclassified
Tobin-Hochstadt,,,,1,unclassified
top-most,,,,1,unclassified
Trellys,,,,1,unclassified
type--there,,,,1,unclassified
Type-valued,,,,1,unclassified
types--free,,,,1,unclassified
Ulf,,,,1,unclassified
Under-precise,,,,1,unclassified
unk,,,,1,unclassified
up-casting,,,,1,unclassified
up-to,,,,1,unclassified
upper-decomposition,,,,1,unclassified
weak-head,,,,1,unclassified
well-behavedness,,,,1,unclassified
Xinming,,,,1,unclassified
Yitzhak,,,,1,unclassified
"zero,Acc",,,,1,unclassified
Zinzindohoue,,,,1,unclassified
