Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
0acc,,,,1,unclassified
1)(falser2,,,,1,unclassified
1+acc,,,,1,unclassified
1acc,,,,1,unclassified
24April,,,,1,unclassified
6-Core,,,,1,unclassified
accfalse)r2,,,,1,unclassified
accfalser2,,,,1,unclassified
acctrue)r1,,,,1,unclassified
acctruer1,,,,1,unclassified
ACM-SIGPLAN,,,,1,unclassified
additions/subtractions,,,,1,unclassified
Aleksandar,,,,1,unclassified
Aleksander,,,,1,unclassified
all_result,,,,1,unclassified
all_results(counter,,,,1,unclassified
already-verified,,,,1,unclassified
amb3,,,,1,unclassified
annotated/inferred,,,,1,unclassified
Answer-Effect,,,,1,unclassified
APLAS,,,,1,unclassified
ArXiv,,,,1,unclassified
AskZ3,,,,1,unclassified
AskZ3(s,,,,1,unclassified
AUTHOR(S,,,,1,unclassified
bi-directional,,,,1,unclassified
BiAbduction,,,,1,unclassified
Biere,,,,1,unclassified
Biernacki,,,,1,unclassified
Birkedal,,,,1,unclassified
Byrski,,,,1,unclassified
Chakravarty,,,,1,unclassified
checking7,,,,1,unclassified
client-handler,,,,1,unclassified
code/specification,,,,1,unclassified
Comput,,,,1,unclassified
conFig,,,,1,unclassified
continuation-enabled,,,,1,unclassified
contra-variance,,,,1,unclassified
counter0,,,,1,unclassified
counterw+1+(2,,,,1,unclassified
counterz+1,,,,1,unclassified
Dagstuhl,,,,1,unclassified
Danvy,,,,1,unclassified
disjunction-free,,,,1,unclassified
dom()dom,,,,1,unclassified
dom(h1,,,,1,unclassified
dom(h2,,,,1,unclassified
Dybvig,,,,1,unclassified
E(y)kE,,,,1,unclassified
ECOOP,,,,1,unclassified
Edom(H,,,,1,unclassified
effect-flow,,,,1,unclassified
Effect/Pred./TryCatch,,,,1,unclassified
effNo(f1,,,,1,unclassified
ens[f,,,,1,unclassified
ens[rk,,,,1,unclassified
ens[rm,,,,1,unclassified
ens[x,,,,1,unclassified
Entail-LHS-OR,,,,1,unclassified
Entail-RHS-OR,,,,1,unclassified
EPTCS,,,,1,unclassified
ESL's,,,,1,unclassified
explictly,,,,1,unclassified
Failure(404,,,,1,unclassified
Failure(500,,,,1,unclassified
falser2,,,,1,unclassified
Flip(n,,,,1,unclassified
Fork(1,,,,1,unclassified
Fork-Yield,,,,1,unclassified
FOSSACS,,,,1,unclassified
Freund,,,,1,unclassified
Fuga,,,,1,unclassified
fvars,,,,1,unclassified
g(y,,,,1,unclassified
handler's,,,,1,unclassified
heap-manipulation,,,,1,unclassified
heap-operations,,,,1,unclassified
heapmanipulating,,,,1,unclassified
high-order,,,,1,unclassified
"i,e",,,,1,unclassified
Inc(n,,,,1,unclassified
infinitestate,,,,1,unclassified
Informatik,,,,1,unclassified
input(s,,,,1,unclassified
instantiated1,,,,1,unclassified
is_empty,,,,1,unclassified
izn0,,,,1,unclassified
Jaffer,,,,1,unclassified
jy+1r,,,,1,unclassified
Kammar,,,,1,unclassified
Kohei,,,,1,unclassified
"l,new,res",,,,1,unclassified
lambda-bound,,,,1,unclassified
lambda/closure,,,,1,unclassified
left/right,,,,1,unclassified
left/right-hand-side,,,,1,unclassified
Leibniz-Zentrum,,,,1,unclassified
lemma-proving,,,,1,unclassified
let-bindings,,,,1,unclassified
LFP,,,,1,unclassified
LHS=try[d,,,,1,unclassified
LHS=try[s,,,,1,unclassified
LIPIcs,,,,1,unclassified
List.iter,,,,1,unclassified
lnew,,,,1,unclassified
locval,,,,1,unclassified
lold,,,,1,unclassified
LoS/LoC,,,,1,unclassified
"m,res",,,,1,unclassified
MacBook,,,,1,unclassified
main's,,,,1,unclassified
"main(,ret",,,,1,unclassified
main(n,,,,1,unclassified
match[s,,,,1,unclassified
Materzok,,,,1,unclassified
Morrisett,,,,1,unclassified
multicont,,,,1,unclassified
n+m,,,,1,unclassified
n-times,,,,1,unclassified
Nobuko,,,,1,unclassified
non-deterministic,,,,1,unclassified
non-emptiness,,,,1,unclassified
non-erroneous,,,,1,unclassified
non-negative,,,,1,unclassified
non-persistent,,,,1,unclassified
nonrecursive,,,,1,unclassified
normal-return,,,,1,unclassified
OCaml2,,,,1,unclassified
one_shot's,,,,1,unclassified
OP-Apply,,,,1,unclassified
OP-Assert,,,,1,unclassified
OP-Assert-Err,,,,1,unclassified
OP-Assign,,,,1,unclassified
OP-Constant,,,,1,unclassified
OP-Deref,,,,1,unclassified
OP-Lambda,,,,1,unclassified
OP-Let-Eff,,,,1,unclassified
OP-Let-Err,,,,1,unclassified
OP-Let-Norm,,,,1,unclassified
OP-Let-Rec,,,,1,unclassified
OP-Match-Err,,,,1,unclassified
OP-Ref,,,,1,unclassified
OP-Var,,,,1,unclassified
Oury,,,,1,unclassified
