Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
NREAD=16,,,,1,unclassified
NWRITE,,,,1,unclassified
NWRITE=12,,,,1,unclassified
ocamlc,,,,1,unclassified
Okasaki's,,,,1,unclassified
ompared,,,,1,unclassified
on-demand,,,,1,unclassified
parallel/divergent,,,,1,unclassified
pattern-matching,,,,1,unclassified
Per-benchmark,,,,1,unclassified
Perceus,,,,1,unclassified
performance-wise,,,,1,unclassified
perreference,,,,1,unclassified
persistent-with-transientviews,,,,1,unclassified
propertybased,,,,1,unclassified
randomly-generated,,,,1,unclassified
re-checks,,,,1,unclassified
read-only,,,,1,unclassified
read/write,,,,1,unclassified
README.ICFP.md,,,,1,unclassified
record-elided,,,,1,unclassified
reference-counting,,,,1,unclassified
referency,,,,1,unclassified
reroots,,,,1,unclassified
resizable,,,,1,unclassified
restore/capture,,,,1,unclassified
Rosu,,,,1,unclassified
RRB-vectors,,,,1,unclassified
Scala's,,,,1,unclassified
semipersistent,,,,1,unclassified
set-only,,,,1,unclassified
Set1,,,,1,unclassified
Set16,,,,1,unclassified
smtlib,,,,1,unclassified
snapshosts,,,,1,unclassified
snapshot/restore,,,,1,unclassified
solver8,,,,1,unclassified
solverbacktracking,,,,1,unclassified
Splay-tree,,,,1,unclassified
sref,,,,1,unclassified
stack-like,,,,1,unclassified
state-based,,,,1,unclassified
state11,,,,1,unclassified
store-like,,,,1,unclassified
Store.commit,,,,1,unclassified
Store.create,,,,1,unclassified
Store.rollback,,,,1,unclassified
Store.set,,,,1,unclassified
Store.snapshot,,,,1,unclassified
Store.transaction,,,,1,unclassified
StoreTransactionalRef,,,,1,unclassified
Structuresransient,,,,1,unclassified
sub-procedure,,,,1,unclassified
subterm,,,,1,unclassified
T-Ref,,,,1,unclassified
TACAS,,,,1,unclassified
testsuite,,,,1,unclassified
thirdparty,,,,1,unclassified
time.1,,,,1,unclassified
toplevel,,,,1,unclassified
transactio,,,,1,unclassified
transactionn,,,,1,unclassified
transactios,,,,1,unclassified
transparential,,,,1,unclassified
trie,,,,1,unclassified
type-checkers,,,,1,unclassified
type-equality,,,,1,unclassified
type-type,,,,1,unclassified
TYPERS,,,,1,unclassified
unaliased,,,,1,unclassified
undo-redo,,,,1,unclassified
undo_log5,,,,1,unclassified
UnionFind,,,,1,unclassified
varieant,,,,1,unclassified
Why3,,,,1,unclassified
yet-undetermined,,,,1,unclassified
Ying,,,,1,unclassified
